route,trip_count,pct_of_total
Downtown Berkeley BART → Hearst Ave at Euclid Ave,116,0.06639042146471005
Market St at 10th St → Powell St BART Station (Market St at 5th St),116,0.06639042146471005
5th St at Virginia St → San Salvador St at 9th St,115,0.0658180902451867
San Francisco Caltrain (Townsend St at 4th St) → Howard St at Beale St,115,0.0658180902451867
Powell St BART Station (Market St at 4th St) → 4th St at Harrison St,115,0.0658180902451867
San Francisco Caltrain Station 2  (Townsend St at 4th St) → Division St at Potrero Ave,115,0.0658180902451867
Howard St at Beale St → The Embarcadero at Sansome St,115,0.0658180902451867
Howard St at 8th St → San Francisco Caltrain Station 2  (Townsend St at 4th St),114,0.06524575902566333
Berry St at 4th St → 4th St at Mission Bay Blvd S,113,0.06467342780613997
The Embarcadero at Steuart St → San Francisco Caltrain (Townsend St at 4th St),112,0.0641010965866166
19th Street BART Station → Grand Ave at Santa Clara Ave,112,0.0641010965866166
Beale St at Harrison St → 3rd St at Townsend St,112,0.0641010965866166
10th St at Fallon St → 2nd Ave at E 18th St,110,0.06295643414756988
The Embarcadero at Steuart St → Berry St at 4th St,110,0.06295643414756988
Downtown Berkeley BART → Bancroft Way at Telegraph Ave,109,0.06238410292804652
San Francisco Caltrain Station 2  (Townsend St at 4th St) → Steuart St at Market St,108,0.06181177170852315
Bancroft Way at Telegraph Ave → Haste St at College Ave,107,0.0612394404889998
Beale St at Harrison St → Embarcadero BART Station (Beale St at Market St),107,0.0612394404889998
Downtown Berkeley BART → Bancroft Way at College Ave,105,0.06009477804995307
Bancroft Way at Telegraph Ave → Telegraph Ave at Carleton St,105,0.06009477804995307
Genoa St at 55th St → MacArthur BART Station,105,0.06009477804995307
Montgomery St BART Station (Market St at 2nd St) → San Francisco Caltrain Station 2  (Townsend St at 4th St),104,0.059522446830429704
Berry St at 4th St → The Embarcadero at Steuart St,103,0.05895011561090635
San Francisco Ferry Building (Harry Bridges Plaza) → San Francisco Caltrain (Townsend St at 4th St),103,0.05895011561090635
Downtown Berkeley BART → MLK Jr Way at University Ave,103,0.05895011561090635
Bancroft Way at Telegraph Ave → Fulton St at Bancroft Way,103,0.05895011561090635
Parker St at Fulton St → Bancroft Way at Telegraph Ave,101,0.057805453171859617
Woolsey St at Sacramento St → Ashby BART Station,101,0.057805453171859617
Bancroft Way at College Ave → Parker St at Fulton St,101,0.057805453171859617
2nd St at Townsend St → Steuart St at Market St,100,0.05723312195233625
Ryland Park → San Fernando St at 4th St,100,0.05723312195233625
11th St at Natoma St → San Francisco Caltrain Station 2  (Townsend St at 4th St),100,0.05723312195233625
San Francisco Caltrain Station 2  (Townsend St at 4th St) → San Francisco Ferry Building (Harry Bridges Plaza),100,0.05723312195233625
4th St at 16th St → Berry St at 4th St,99,0.056660790732812896
Derby St at College Ave → Bancroft Way at Telegraph Ave,99,0.056660790732812896
Powell St BART Station (Market St at 4th St) → San Francisco Caltrain Station 2  (Townsend St at 4th St),99,0.056660790732812896
Grand Ave at Santa Clara Ave → 19th Street BART Station,98,0.05608845951328953
San Fernando St at 4th St → Ryland Park,98,0.05608845951328953
Julian St at The Alameda → The Alameda at Bush St,97,0.05551612829376617
Downtown Berkeley BART → Vine St at Shattuck Ave,97,0.05551612829376617
Bancroft Way at Telegraph Ave → Bancroft Way at College Ave,96,0.0549437970742428
Bancroft Way at College Ave → Fulton St at Bancroft Way,96,0.0549437970742428
San Francisco Caltrain Station 2  (Townsend St at 4th St) → Howard St at Beale St,96,0.0549437970742428
Berry St at 4th St → Montgomery St BART Station (Market St at 2nd St),96,0.0549437970742428
Montgomery St BART Station (Market St at 2nd St) → S Park St at 3rd St,96,0.0549437970742428
Davis St at Jackson St → The Embarcadero at Sansome St,96,0.0549437970742428
San Francisco Ferry Building (Harry Bridges Plaza) → 3rd St at Townsend St,95,0.05437146585471945
Salesforce Transit Center (Natoma St at 2nd St) → San Francisco Caltrain Station 2  (Townsend St at 4th St),95,0.05437146585471945
2nd St at Townsend St → Beale St at Harrison St,95,0.05437146585471945
Montgomery St BART Station (Market St at 2nd St) → San Francisco Ferry Building (Harry Bridges Plaza),95,0.05437146585471945
Bancroft Way at Telegraph Ave → Channing Way at Shattuck Ave,95,0.05437146585471945
The Embarcadero at Sansome St → Embarcadero BART Station (Beale St at Market St),94,0.05379913463519608
College Ave at Alcatraz Ave → Rockridge BART Station,93,0.053226803415672715
Embarcadero BART Station (Beale St at Market St) → Berry St at 4th St,93,0.053226803415672715
Howard St at 8th St → 8th St at Brannan St,92,0.052654472196149354
Salesforce Transit Center (Natoma St at 2nd St) → San Francisco Caltrain (Townsend St at 4th St),92,0.052654472196149354
Beale St at Harrison St → Berry St at 4th St,91,0.052082140976625994
The Embarcadero at Sansome St → Howard St at Beale St,91,0.052082140976625994
3rd St at Townsend St → Montgomery St BART Station (Market St at 2nd St),91,0.052082140976625994
Embarcadero BART Station (Beale St at Market St) → San Francisco Caltrain (Townsend St at 4th St),90,0.051509809757102634
Victoria Manalo Draves Park → San Francisco Caltrain Station 2  (Townsend St at 4th St),89,0.05093747853757927
Esprit Park → San Francisco Ferry Building (Harry Bridges Plaza),89,0.05093747853757927
4th St at Mission Bay Blvd S → San Francisco Ferry Building (Harry Bridges Plaza),89,0.05093747853757927
Civic Center/UN Plaza BART Station (Market St at McAllister St) → Powell St BART Station (Market St at 4th St),88,0.0503651473180559
The Embarcadero at Sansome St → San Francisco Caltrain (Townsend St at 4th St),88,0.0503651473180559
Parker St at Fulton St → Downtown Berkeley BART,87,0.04979281609853255
4th St at Mission Bay Blvd S → Steuart St at Market St,87,0.04979281609853255
Embarcadero BART Station (Beale St at Market St) → The Embarcadero at Sansome St,87,0.04979281609853255
San Salvador St at 9th St → 5th St at Virginia St,86,0.04922048487900918
Montgomery St BART Station (Market St at 2nd St) → 3rd St at Townsend St,86,0.04922048487900918
Telegraph Ave at Carleton St → Bancroft Way at Telegraph Ave,86,0.04922048487900918
Powell St BART Station (Market St at 5th St) → San Francisco Caltrain Station 2  (Townsend St at 4th St),86,0.04922048487900918
2nd St at Julian St → San Fernando St at 4th St,86,0.04922048487900918
19th Street BART Station → Telegraph Ave at 27th St,86,0.04922048487900918
Paseo De San Antonio at 2nd St → 5th St at Virginia St,85,0.04864815365948581
Laguna St at Hayes St → San Francisco Public Library (Grove St at Hyde St),85,0.04864815365948581
Esprit Park → Steuart St at Market St,85,0.04864815365948581
The Embarcadero at Bryant St → San Francisco Ferry Building (Harry Bridges Plaza),85,0.04864815365948581
North Berkeley BART Station → Fifth St at Delaware St,84,0.04807582243996245
Berry St at 4th St → Powell St BART Station (Market St at 5th St),84,0.04807582243996245
Howard St at 2nd St → San Francisco Caltrain (Townsend St at 4th St),83,0.04750349122043909
S Park St at 3rd St → Montgomery St BART Station (Market St at 2nd St),83,0.04750349122043909
Powell St BART Station (Market St at 4th St) → Berry St at 4th St,83,0.04750349122043909
4th St at 16th St → Beale St at Harrison St,83,0.04750349122043909
4th St at Mission Bay Blvd S → Beale St at Harrison St,83,0.04750349122043909
Bryant St at 2nd St → San Francisco Ferry Building (Harry Bridges Plaza),82,0.04693116000091573
West Oakland BART Station → DeFremery Park,82,0.04693116000091573
5th St at Virginia St → 5th St at San Salvador St,82,0.04693116000091573
MacArthur BART Station → 49th St at Telegraph Ave,82,0.04693116000091573
Grand Ave at Webster St → Grand Ave at Perkins St,82,0.04693116000091573
San Francisco Caltrain Station 2  (Townsend St at 4th St) → The Embarcadero at Steuart St,81,0.046358828781392365
Howard St at Beale St → San Francisco Caltrain Station 2  (Townsend St at 4th St),81,0.046358828781392365
San Francisco Caltrain Station 2  (Townsend St at 4th St) → Howard St at 8th St,81,0.046358828781392365
The Embarcadero at Steuart St → The Embarcadero at Sansome St,80,0.045786497561869005
3rd St at Townsend St → Beale St at Harrison St,80,0.045786497561869005
Bancroft Way at College Ave → Russell St at College Ave,80,0.045786497561869005
Frank H Ogawa Plaza → 2nd Ave at E 18th St,80,0.045786497561869005
Shattuck Ave at Hearst Ave → Hearst Ave at Euclid Ave,79,0.045214166342345645
Civic Center/UN Plaza BART Station (Market St at McAllister St) → Market St at 10th St,79,0.045214166342345645
San Francisco Caltrain (Townsend St at 4th St) → Division St at Potrero Ave,79,0.045214166342345645
Hearst Ave at Euclid Ave → MLK Jr Way at University Ave,78,0.04464183512282228
El Embarcadero at Grand Ave → 2nd Ave at E 18th St,78,0.04464183512282228
Montgomery St BART Station (Market St at 2nd St) → Berry St at 4th St,77,0.04406950390329892
